task,kind,run,success,completed,clicks,seconds,final_focus
open-apps-menu,single,0,false,true,1,2.3,[focused: (desktop)]
open-apps-menu,single,1,false,true,1,2.3,[focused: (desktop)]
open-apps-menu,single,2,false,true,1,2.1,[focused: (desktop)]
open-apps-menu,single,3,false,true,1,2.3,[focused: (desktop)]
open-apps-menu,single,4,false,true,1,2.1,[focused: (desktop)]
open-apps-menu,single,5,false,true,1,2.3,[focused: (desktop)]
menu-then-terminal,2-step,0,true,true,2,3.1,[focused: Terminal - laputa@lagado-vm: ~]
menu-then-terminal,2-step,1,true,true,2,3.2,[focused: Terminal - laputa@lagado-vm: ~]
menu-then-terminal,2-step,2,true,true,2,3.1,[focused: Terminal - laputa@lagado-vm: ~]
menu-then-terminal,2-step,3,true,true,2,3.2,[focused: Terminal - laputa@lagado-vm: ~]
menu-then-terminal,2-step,4,true,true,2,3.1,[focused: Terminal - laputa@lagado-vm: ~]
menu-then-terminal,2-step,5,true,true,2,3.2,[focused: Terminal - laputa@lagado-vm: ~]
menu-then-filemanager,2-step,0,false,true,1,3.0,[focused: Desktop]
menu-then-filemanager,2-step,1,false,true,1,2.9,[focused: Desktop]
menu-then-filemanager,2-step,2,false,true,1,2.8,[focused: Desktop]
menu-then-filemanager,2-step,3,false,true,1,3.2,[focused: Desktop]
menu-then-filemanager,2-step,4,false,true,1,2.9,[focused: Desktop]
menu-then-filemanager,2-step,5,false,true,1,3.0,[focused: Desktop]
menu-then-browser,2-step,0,false,true,1,3.0,[focused: Desktop]
menu-then-browser,2-step,1,false,true,1,2.9,[focused: Desktop]
menu-then-browser,2-step,2,false,true,1,2.9,[focused: Desktop]
menu-then-browser,2-step,3,false,true,1,2.9,[focused: Desktop]
menu-then-browser,2-step,4,false,true,1,2.9,[focused: Desktop]
menu-then-browser,2-step,5,false,true,1,2.9,[focused: Desktop]
menu-then-terminal-v2,2-step,0,true,true,2,3.2,[focused: Terminal - laputa@lagado-vm: ~]
menu-then-terminal-v2,2-step,1,true,true,2,3.2,[focused: Terminal - laputa@lagado-vm: ~]
menu-then-terminal-v2,2-step,2,true,true,2,3.2,[focused: Terminal - laputa@lagado-vm: ~]
menu-then-terminal-v2,2-step,3,true,true,2,3.2,[focused: Terminal - laputa@lagado-vm: ~]
menu-then-terminal-v2,2-step,4,true,true,2,3.2,[focused: Terminal - laputa@lagado-vm: ~]
menu-then-terminal-v2,2-step,5,true,true,2,3.3,[focused: Terminal - laputa@lagado-vm: ~]
implicit-terminal,implicit,0,false,true,0,2.3,[focused: Desktop]
implicit-terminal,implicit,1,false,true,0,2.1,[focused: Desktop]
implicit-terminal,implicit,2,false,true,0,2.1,[focused: Desktop]
implicit-terminal,implicit,3,false,true,0,2.1,[focused: Desktop]
implicit-terminal,implicit,4,false,true,0,2.1,[focused: Desktop]
implicit-terminal,implicit,5,false,true,0,2.1,[focused: Desktop]
implicit-browser,implicit,0,false,true,0,2.2,[focused: Desktop]
implicit-browser,implicit,1,false,true,0,2.1,[focused: Desktop]
implicit-browser,implicit,2,false,true,0,2.4,[focused: Desktop]
implicit-browser,implicit,3,false,true,0,2.1,[focused: Desktop]
implicit-browser,implicit,4,false,true,0,2.1,[focused: Desktop]
implicit-browser,implicit,5,false,true,0,2.1,[focused: Desktop]
implicit-filemanager,implicit,0,false,true,0,2.2,[focused: Desktop]
implicit-filemanager,implicit,1,false,true,0,2.2,[focused: Desktop]
implicit-filemanager,implicit,2,false,true,0,2.1,[focused: Desktop]
implicit-filemanager,implicit,3,false,true,0,2.2,[focused: Desktop]
implicit-filemanager,implicit,4,false,true,0,2.1,[focused: Desktop]
implicit-filemanager,implicit,5,false,true,0,2.2,[focused: Desktop]
